followers_per_followees,replies_to_tweets,tweets_with_url_to_total_tweets,number_of_replies,hastag_count_to_word_count_mean,hastag_count_to_word_count_median,hastag_count_to_word_count_min,hastag_count_to_word_count_max,url_count_to_word_count_mean,url_count_to_word_count_median,url_count_to_word_count_min,url_count_to_word_count_max,characters_per_tweet_mean,characters_per_tweet_median,characters_per_tweet_min,characters_per_tweet_max,time_between_posts_mean,time_between_posts_median,spammer
0.682927,0.347826,0.184783,32,0.0088,0,0,0.25,0.0202,0,0,0.25,96.9565,95,19,144,21957.8352,703,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,0,0,yes
0.166667,0,0.453846,0,0.0465,0.09091,0,1,0.0658,0,0,1,101.3154,68,15,515,4561.2317,6108,yes
1.9875,0.094118,0.835294,40,0.0433,0,0,0.4444,0.0655,0.0625,0,0.25,102.7482,132,17,154,20191.8491,424,yes
1.000701,0.653846,0.192308,17,0.0173,0,0,0.0909,0.0148,0,0,0.125,106.5385,140,9,143,257839.04,54,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,104,104,104,104,0,0,yes
0.625806,0.294118,0.393665,65,0.0082,0,0,0.1429,0.0361,0.0625,0,0.25,88.1674,106,15,149,176152.3091,178,yes
0,0,1,0,0.0222,0,0,0.1111,0.1204,0.1,0.0909,0.2,77.4,81,61,84,728388.75,64,yes
0.614035,0.288385,0.134846,216,0.0096,0,0,0.3333,0.0167,0,0,0.5,69.2003,19,4,158,53499.8075,80712,yes
1.05,0.188571,0.017143,33,0,0,0,0,0.0023,0,0,0.2,51.7086,19,6,152,58445.9943,4627,yes
1.024444,0.183673,0.319728,27,0.0106,0,0,0.2,0.0306,0,0,0.3333,82.6122,121,19,145,46414.1712,1552,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,105,105,105,105,0,0,yes
0.235294,0.266667,0.246667,40,0.0296,0,0,0.75,0.0622,0,0,1,69.5467,3,3,150,77346.5973,38578,yes
0.706667,0.224359,0.448718,35,0.105,1,0,1,0.0598,0,0,0.3333,83.0705,12,12,189,31488.3935,39963,yes
1.460317,0.656899,0.051145,1233,0.0069,0,0,1,0.0049,0,0,0.5,84.1913,85,11,154,6063.4291,2203,yes
1.134259,0.49469,0.105801,1211,0.0077,0,0,0.75,0.0163,0,0,1,70.9698,131,4,578,17819.785,124,yes
0.654321,0.251748,0.072261,108,0.0015,0,0,0.1,0.0058,0.125,0,0.1667,95.6737,66,15,167,9670.1449,2246,yes
0.399527,0.573758,0.151223,774,0.004,0,0,0.3333,0.0162,0,0,1,87.4685,139,5,170,12712.5408,10,yes
0.697674,0.410256,0.246154,80,0.0012,0,0,0.1111,0.0366,0,0,0.5,74.5795,54,11,143,49412.1031,18269,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,110,110,110,110,0,0,yes
1.421053,0.166247,0.221662,66,0.0083,0,0,0.25,0.0191,0,0,1,88.0882,59,10,148,33345.947,46374,yes
0.602679,0.491249,0.143524,421,0.0046,0,0,0.25,0.0144,0,0,0.5,85.5683,45,11,147,16322.5491,1166,yes
1.5,0.145161,0.129032,9,0.0298,0,0,0.25,0.0102,0,0,0.0833,109.0645,90,18,140,229283.8361,223486,yes
0.655172,0.331126,0.10596,150,0.0006,0,0,0.25,0.0193,0,0,1,91.5916,35,1,157,27701.5597,777,yes
1.173469,0.353929,0.090665,527,0.0007,0,0,1,0.0264,0,0,1,64.683,29,2,456,18648.1069,126,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,108,108,108,108,0,0,yes
3.33557,0.645624,0.155811,2250,0.003,0,0,1,0.0104,0.05,0,0.2,104.4628,124,17,167,2729.2959,206,yes
0.377778,0.182759,0.303448,53,0.0056,0,0,0.25,0.0222,0,0,0.25,111.0931,133,14,165,35298.5917,45958,yes
0.701923,0.109868,0.385554,108,0.0115,0,0,1,0.0385,0.05882,0,0.5,89.3021,116,2,172,15323.7169,5647,yes
1.006289,0.280595,0.064498,509,0.0113,0,0,0.5,0.0066,0,0,0.3333,83.8578,138,10,148,16426.433,1716,yes
0,0,1,0,0.0646,0.25,0,0.25,0.1179,0.125,0.1,0.125,81.8182,78,72,118,248252.8,26287,yes
0.446154,0.212727,0.808182,234,0.0007,0,0,0.25,0.0694,0.08333,0,0.3333,94.1827,99,9,186,6765.303,209,yes
0,0,1,0,0.0694,0.11111,0,0.125,0.123,0.11111,0.1111,0.1429,84,85,71,104,624776.5,65,yes
1.547945,0.52953,0.084228,1578,0.0148,0.10526,0,0.3333,0.0108,0,0,1,85.4587,139,12,170,3658.759,152,yes
1.5,0.333333,0.136364,22,0.0131,0,0,0.2857,0.0118,0,0,0.1429,71.4394,30,4,140,174134.4615,849,yes
0.807692,0.404412,0.051471,55,0.0015,0,0,0.125,0.0212,0,0,1,57.3676,27,7,142,108351.7481,21164,yes
2.248649,0.000683,0.998634,1,0.0764,0.06667,0,0.4,0.0646,0.06667,0,0.2222,123.9495,110,42,152,2579.3062,129,yes
1.194915,0.380488,0.365854,78,0.0131,0.05882,0,0.5,0.0367,0,0,0.5,95.5707,97,21,159,65905.7402,4205,yes
2.266129,0.250524,0.301537,717,0.0003,0,0,0.125,0.0353,0.33333,0,0.3333,93.8885,31,1,150,3586.4628,6566,yes
0.660194,0.252747,0.604396,46,0.0031,0,0,0.1667,0.0686,0,0,0.5,88.7418,68,10,331,60286.9006,174077,yes
166.020833,0.15514,0.194393,83,0.0134,0,0,1,0.0296,0,0,1,85.3514,34,9,154,34129.3633,60,yes
0.822222,0.541067,0.052075,1278,0.0146,0,0,1,0.0111,0,0,1,52.5271,68,1,154,6262.2901,133,yes
0.444444,0.226608,0.123538,310,0.0067,0,0,1,0.0271,0,0,1,61.4327,54,1,154,10005.4587,2556,yes
1.040428,0.383754,0.210484,959,0.0148,0,0,0.6667,0.0274,0.1,0,1,63.4474,55,8,160,30713.3567,4803,yes
0.825911,0.328225,0.192848,257,0.0028,0,0,0.3333,0.053,0,0,1,58.8914,49,4,151,21518.7992,6581,yes
0.918154,0.229373,0.466722,834,0.0104,0,0,0.75,0.0548,0,0,1,73.3859,54,2,166,9988.7304,1589,yes
0.854167,0.514241,0.166139,325,0.0026,0,0,0.1429,0.013,0.05,0,0.5,98.0411,133,12,148,63513.7734,23345,yes
0.952381,0.347741,0.198428,177,0.0177,0,0,0.4286,0.0219,0,0,0.3333,80.9843,72,6,196,41960.6594,37,yes
0.481481,0.557143,0.257143,39,0.0057,0,0,0.1429,0.0267,0,0,0.2,77.8143,31,11,140,97510.4348,73911,yes
1.1875,0.671975,0.236465,1688,0.014,0,0,0.5,0.0198,0,0,0.5,80.4017,25,3,230,8486.7427,384,yes
0.606299,0.161533,0.117205,215,0.0007,0,0,0.5,0.015,0,0,1,73.5049,62,7,148,19428.5173,38467,yes
0.333333,0.066667,0.04,5,0.0077,0,0,0.1667,0.0027,0,0,0.0909,63.6133,22,4,144,76537.4189,100605,yes
0,0,1,0,0.1667,0.16667,0.1667,0.1667,0.1667,0.16667,0.1667,0.1667,103,103,103,103,0,0,yes
0.918182,0.680176,0.028194,772,0.0071,0,0,0.6667,0.0037,0,0,1,66.2053,139,3,191,11582.0282,919,yes
0.111111,0.614754,0.229508,75,0.0389,0.0625,0,1,0.0447,0,0,1,60.3197,90,13,150,90830.4876,63,yes
1.683698,0.553659,0.062771,1914,0.0096,0,0,0.5,0.0065,0,0,1,84.3439,66,11,166,4923.5911,107,yes
